name,episode,link,pic,season,genre,rank
Josee to Tora to Sakana-tachi,1,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,https://cdn.myanimelist.net/images/anime/1714/108892.jpg,OVA ONA SPECIAL,Slice of Life Drama Romance,80
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,1,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,https://cdn.myanimelist.net/images/anime/12/19698.jpg,OVA ONA SPECIAL,Action Sci-Fi Space Super Power Mecha,81
Mushishi: Hihamukage,1,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,https://cdn.myanimelist.net/images/anime/10/59315.jpg,OVA ONA SPECIAL,Adventure Slice of Life Mystery Historical Supernatural Fantasy Seinen,82
Zoku Natsume Yuujinchou,13,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou,https://cdn.myanimelist.net/images/anime/4/79738.jpg,Winter 2009,Slice of Life Demons Supernatural Drama Shoujo,83
Bakuman. 3rd Season,25,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,https://cdn.myanimelist.net/images/anime/6/41845.jpg,Fall 2012,Comedy Drama Romance Shounen,84
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,1,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,https://cdn.myanimelist.net/images/anime/1974/98158.jpg,OVA ONA SPECIAL,Action Fantasy Magic Supernatural,85
Kara no Kyoukai 5: Mujun Rasen,1,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen,https://cdn.myanimelist.net/images/anime/8/9246.jpg,OVA ONA SPECIAL,Action Mystery Supernatural Drama Romance Thriller,86
Sora yori mo Tooi Basho,13,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho,https://cdn.myanimelist.net/images/anime/6/89879.jpg,Winter 2018,Adventure Comedy Drama,87
Neon Genesis Evangelion: The End of Evangelion,1,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion,https://cdn.myanimelist.net/images/anime/1404/98182.jpg,OVA ONA SPECIAL,Sci-Fi Dementia Psychological Drama Mecha,88
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,12,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,https://cdn.myanimelist.net/images/anime/1724/117421.jpg,Winter 2021,Drama Fantasy Psychological Thriller,89
Yuru Camp△ Season 2,13,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,https://cdn.myanimelist.net/images/anime/1255/110636.jpg,Winter 2021,Slice of Life Comedy,90
Haikyuu!!: To the Top 2nd Season,12,https://myanimelist.net/anime/40776/Haikyuu__To_the_Top_2nd_Season,https://cdn.myanimelist.net/images/anime/1453/106768.jpg,Fall 2020,Comedy Sports Drama School Shounen,91
Fumetsu no Anata e,20,https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e,https://cdn.myanimelist.net/images/anime/1134/111757.jpg,Spring 2021,Adventure Supernatural Drama Shounen,92
Gintama.: Porori-hen,13,https://myanimelist.net/anime/35843/Gintama__Porori-hen,https://cdn.myanimelist.net/images/anime/11/88325.jpg,Fall 2017,Action Comedy Historical Parody Samurai Sci-Fi Shounen,93
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,26,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,https://cdn.myanimelist.net/images/anime/11/51465.jpg,Winter 2004,Action Military Sci-Fi Mystery Police Mecha Seinen,94
One Punch Man,12,https://myanimelist.net/anime/30276/One_Punch_Man,https://cdn.myanimelist.net/images/anime/12/76049.jpg,Fall 2015,Action Sci-Fi Comedy Parody Super Power Supernatural,95
Slam Dunk,101,https://myanimelist.net/anime/170/Slam_Dunk,https://cdn.myanimelist.net/images/anime/12/86890.jpg,Fall 1993,Comedy Drama School Shounen Sports,96
Tian Guan Ci Fu Special,1,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special,https://cdn.myanimelist.net/images/anime/1043/110306.jpg,OVA ONA SPECIAL,Historical Supernatural Drama,97
Ansatsu Kyoushitsu 2nd Season,25,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season,https://cdn.myanimelist.net/images/anime/8/77966.jpg,Winter 2016,Action Comedy School Shounen,98
Gintama Movie 1: Shinyaku Benizakura-hen,1,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,https://cdn.myanimelist.net/images/anime/4/28803.jpg,OVA ONA SPECIAL,Action Sci-Fi Comedy Historical Parody Samurai Shounen,99
Aria the Origination,13,https://myanimelist.net/anime/3297/Aria_the_Origination,https://cdn.myanimelist.net/images/anime/6/77623.jpg,Winter 2008,Sci-Fi Slice of Life Fantasy Shounen,100
Banana Fish,24,https://myanimelist.net/anime/36649/Banana_Fish,https://cdn.myanimelist.net/images/anime/1190/93472.jpg,Summer 2018,Action Adventure Drama Shoujo,101
Gintama: The Semi-Final,2,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final,https://cdn.myanimelist.net/images/anime/1694/110521.jpg,OVA ONA SPECIAL,Action Comedy Historical Parody Samurai Shounen,102
Hotaru no Haka,1,https://myanimelist.net/anime/578/Hotaru_no_Haka,https://cdn.myanimelist.net/images/anime/7/75808.jpg,OVA ONA SPECIAL,Drama Historical,103
Kenpuu Denki Berserk,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk,https://cdn.myanimelist.net/images/anime/12/18520.jpg,Fall 1997,Action Military Adventure Horror Demons Supernatural Drama Fantasy Seinen,104
Perfect Blue,1,https://myanimelist.net/anime/437/Perfect_Blue,https://cdn.myanimelist.net/images/anime/11/79127.jpg,OVA ONA SPECIAL,Dementia Drama Horror Psychological,105
Rainbow: Nisha Rokubou no Shichinin,26,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin,https://cdn.myanimelist.net/images/anime/9/72697.jpg,Spring 2010,Drama Historical Seinen Thriller,106
Shingeki no Kyojin,25,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,https://cdn.myanimelist.net/images/anime/10/47347.jpg,Spring 2013,Action Military Mystery Super Power Drama Fantasy Shounen,107
Steins;Gate 0,23,https://myanimelist.net/anime/30484/Steins_Gate_0,https://cdn.myanimelist.net/images/anime/1375/93521.jpg,Spring 2018,Sci-Fi Psychological Drama Thriller,108
Uchuu Kyoudai,99,https://myanimelist.net/anime/12431/Uchuu_Kyoudai,https://cdn.myanimelist.net/images/anime/7/37573.jpg,Spring 2012,Comedy Sci-Fi Seinen Slice of Life Space,109
Vivy: Fluorite Eye's Song,13,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,https://cdn.myanimelist.net/images/anime/1637/115052.jpg,Spring 2021,Action Music Sci-Fi Thriller,110
Samurai Champloo,26,https://myanimelist.net/anime/205/Samurai_Champloo,https://cdn.myanimelist.net/images/anime/11/29134.jpg,Spring 2004,Action Adventure Comedy Historical Samurai Shounen,111
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,39,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,https://cdn.myanimelist.net/images/anime/3/79156.jpg,Spring 2016,Action Adventure Comedy Supernatural Drama Shounen,112
