name,episode,link,pic,season,genre,rank
Tensei shitara Slime Datta Ken,24,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken,https://cdn.myanimelist.net/images/anime/1694/93337.jpg,Fall 2018,Action Adventure Comedy Demons Magic Fantasy,426
Log Horizon,25,https://myanimelist.net/anime/17265/Log_Horizon,https://cdn.myanimelist.net/images/anime/5/84004.jpg,Fall 2013,Action Game Adventure Magic Fantasy,593
Enen no Shouboutai,24,https://myanimelist.net/anime/38671/Enen_no_Shouboutai,https://cdn.myanimelist.net/images/anime/1664/103275.jpg,Summer 2019,Action Supernatural Shounen,1127
Fate/Zero 2nd Season,12,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season,https://cdn.myanimelist.net/images/anime/8/41125.jpg,Spring 2012,Action Supernatural Magic Fantasy,76
Vinland Saga,24,https://myanimelist.net/anime/37521/Vinland_Saga,https://cdn.myanimelist.net/images/anime/1500/103005.jpg,Summer 2019,Action Adventure Historical Drama Seinen,41
Nanatsu no Taizai: Imashime no Fukkatsu,24,https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu,https://cdn.myanimelist.net/images/anime/11/90089.jpg,Winter 2018,Action Adventure Fantasy Magic Shounen Supernatural,1011
Tokyo Ghoul:re,12,https://myanimelist.net/anime/36511/Tokyo_Ghoul_re,https://cdn.myanimelist.net/images/anime/1063/95086.jpg,Spring 2018,Action Psychological Supernatural Mystery Drama Horror Seinen,6536
Dororo,24,https://myanimelist.net/anime/37520/Dororo,https://cdn.myanimelist.net/images/anime/1879/100467.jpg,Winter 2019,Action Adventure Demons Historical Samurai Shounen Supernatural,286
Magi: The Labyrinth of Magic,25,https://myanimelist.net/anime/14513/Magi__The_Labyrinth_of_Magic,https://cdn.myanimelist.net/images/anime/11/42773.jpg,Fall 2012,Action Adventure Fantasy Magic Shounen,503
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,24,https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders,https://cdn.myanimelist.net/images/anime/11/55267.jpg,Spring 2014,Action Adventure Supernatural Drama Shounen,438
Mahouka Koukou no Rettousei,26,https://myanimelist.net/anime/20785/Mahouka_Koukou_no_Rettousei,https://cdn.myanimelist.net/images/anime/11/61039.jpg,Spring 2014,Action Magic Romance School Sci-Fi Supernatural,1722
Gintama,201,https://myanimelist.net/anime/918/Gintama,https://cdn.myanimelist.net/images/anime/10/73274.jpg,Spring 2006,Action Comedy Historical Parody Samurai Sci-Fi Shounen,14
Fate/stay night: Unlimited Blade Works,12,https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works,https://cdn.myanimelist.net/images/anime/12/67333.jpg,Fall 2014,Action Supernatural Magic Fantasy,316
Goblin Slayer,12,https://myanimelist.net/anime/37349/Goblin_Slayer,https://cdn.myanimelist.net/images/anime/1719/95621.jpg,Fall 2018,Action Adventure Fantasy,1856
Devilman: Crybaby,10,https://myanimelist.net/anime/35120/Devilman__Crybaby,https://cdn.myanimelist.net/images/anime/2/89973.jpg,OVA ONA SPECIAL,Action Dementia Demons Horror Supernatural,847
Darker than Black: Kuro no Keiyakusha,25,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha,https://cdn.myanimelist.net/images/anime/5/19570.jpg,Spring 2007,Action Sci-Fi Mystery SuperPower,432
Fate/stay night,24,https://myanimelist.net/anime/356/Fate_stay_night,https://cdn.myanimelist.net/images/anime/4/30327.jpg,Winter 2006,Action Supernatural Magic Romance Fantasy,2342
Fairy Tail (2014),102,https://myanimelist.net/anime/22043/Fairy_Tail_2014,https://cdn.myanimelist.net/images/anime/3/60551.jpg,Spring 2014,Action Adventure Comedy Fantasy Magic Shounen,1097
Black Lagoon,12,https://myanimelist.net/anime/889/Black_Lagoon,https://cdn.myanimelist.net/images/anime/4/25596.jpg,Spring 2006,Action Seinen,497
Kimetsu no Yaiba Movie: Mugen Ressha-hen,1,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,https://cdn.myanimelist.net/images/anime/1704/106947.jpg,OVA ONA SPECIAL,Action Historical Demons Supernatural Shounen,39
Sword Art Online: Alicization,24,https://myanimelist.net/anime/36474/Sword_Art_Online__Alicization,https://cdn.myanimelist.net/images/anime/1993/93837.jpg,Fall 2018,Action Game Adventure Romance Fantasy,1444
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,24,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season,https://cdn.myanimelist.net/images/anime/11/75045.jpg,Winter 2015,Action Adventure Supernatural Drama Shounen,137
Black Bullet,13,https://myanimelist.net/anime/20787/Black_Bullet,https://cdn.myanimelist.net/images/anime/1292/94693.jpg,Spring 2014,Action Sci-Fi Mystery Seinen,3190
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,39,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,https://cdn.myanimelist.net/images/anime/3/79156.jpg,Spring 2016,Action Adventure Comedy Supernatural Drama Shounen,112
Baccano!,13,https://myanimelist.net/anime/2251/Baccano,https://cdn.myanimelist.net/images/anime/3/14547.jpg,Summer 2007,Action Comedy Historical Mystery Supernatural,156
